1, 1,105.50,0,0,1248900,R,2012-02-20T12:25:10,N,BANK,3,1,1,BSPC0001,S,I,1,R,45.0,D,D,L,F,F,C-CLEC
2, 2,105.50,0,0,1248900,R,2002-05-23T12:25:10,N,BANK,3,2,2,BSPC0002,S,I,2,R,45.0,D,D,L,F,F,C-CLEC
3, 3,105.50,0,0,1248900,R,2003-05-23T12:25:10,N,ABC,3,3,3,BSPC0003,S,I,3,R,45.0,D,D,L,F,F,C-CLEC
4, 4,105.50,0,0,1248900,R,2004-05-23T12:25:10,N,BANK,3,4,4,BSPC0004,S,I,4,R,45.0,D,D,L,F,F,C-CLEC
5, 5,105.50,0,0,1248900,R,2005-05-23T12:25:10,N,ABC,3,5,5,BSPC0005,S,I,5,R,45.0,D,D,L,F,F,C-CLEC
6, 6,105.50,0,0,1248900,R,2006-05-23T12:25:10,N,BANK,3,6,6,BSPC0006,S,I,6,R,45.0,D,D,L,F,F,C-CLEC
7, 7,105.50,0,0,1248900,R,2007-05-23T12:25:10,N,ABC,3,7,7,BSPC0007,S,I,7,R,45.0,D,D,L,F,F,C-CLEC
8, 8,105.50,0,0,1248900,R,2008-05-23T12:25:10,N,BANK,3,8,8,BSPC0008,S,I,8,R,45.0,D,D,L,F,F,C-CLEC
9, 9,105.50,0,0,1248900,R,2009-05-23T12:25:10,N,ABC,3,9,9,BSPC0009,S,I,9,R,45.0,D,D,L,F,F,C-CLEC
10,10,105.50,0,0,1248900,R,2005-05-23T12:25:10,N,BANK,3,10,10,BSPC0001,S,I,10,R,45.0,D,D,L,F,F,C-CLEC
